[Sun, 22 Jan 2023 17:13:37 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:15:03 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:15:58 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:16:09 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:16:47 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:16:56 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:17:28 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:20:36 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:21:28 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:21:36 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:21:50 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:23:39 GMT] 	 ::ffff:127.0.0.1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:23:53 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:23:57 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:24:42 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:25:50 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:55:41 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/logout 	 HTTP/1.1 	 204 	 -
[Tue, 24 Jan 2023 18:01:35 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:02:11 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 500 	 http://localhost:5173
[Tue, 24 Jan 2023 18:08:25 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 500 	 http://localhost:5173
[Tue, 24 Jan 2023 18:09:17 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 500 	 http://localhost:5173
[Tue, 24 Jan 2023 18:09:51 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 201 	 http://localhost:5173
[Tue, 24 Jan 2023 18:11:57 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:12:11 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:12:41 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:12:53 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:17:33 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:20:22 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:22:02 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:22:08 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:22:10 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:22:12 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:23:07 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:23:08 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:23:08 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:23:09 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:26:20 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:27:57 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:27:59 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:29:52 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 18:33:12 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
